,Student_ID,Name,Gender,Age,Education_Level,Employment_Status,City,Device_Type,Internet_Connection_Quality,Course_ID,Course_Name,Category,Course_Level,Course_Duration_Days,Instructor_Rating,Login_Frequency,Average_Session_Duration_Min,Video_Completion_Rate,Discussion_Participation,Time_Spent_Hours,Days_Since_Last_Login,Notifications_Checked,Peer_Interaction_Score,Assignments_Submitted,Assignments_Missed,Quiz_Attempts,Quiz_Score_Avg,Project_Grade,Progress_Percentage,Rewatch_Count,Enrollment_Date,Payment_Mode,Fee_Paid,Discount_Used,Payment_Amount,App_Usage_Percentage,Reminder_Emails_Clicked,Support_Tickets_Raised,Satisfaction_Rating,Completed,Gender_Encoded,Education_Encoded,Employment_Encoded,Device_Encoded,Internet_Encoded,Level_Encoded,Category_Encoded,Payment_Encoded
3799,STU103799,Krishna Gupta,Female,27,Diploma,Self-Employed,Jaipur,Laptop,Low,C101,Python Basics,Programming,Beginner,45,4.6,7,46,27.6,1,0.5,0,7,7.2,5,5,4,43.1,57.9,42.6,0,29-03-2024,Free,No,No,0,100,3,1,4.1,Completed,0,1,1,0,1,1,4,2
3800,STU103800,Aditya Bhardwaj,Male,17,Diploma,Student,Indore,Mobile,Medium,C105,UI/UX Design Fundamentals,Design,Beginner,40,4.4,7,42,68.0,1,0.7,2,5,7.3,6,4,4,71.0,82.2,63.9,1,19-07-2024,NetBanking,Yes,No,3804,100,5,0,3.8,Not Completed,1,1,2,1,2,1,1,3
3801,STU103801,Meera Sharma,Female,23,Master,Employed,Delhi,Mobile,Medium,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,5,34,47.2,1,1.5,15,1,5.6,4,6,2,73.0,67.3,43.9,3,06-12-2024,Free,No,Yes,0,100,2,0,4.8,Not Completed,0,3,0,1,2,2,4,2
3802,STU103802,Rohan Singh,Male,28,Bachelor,Employed,Kolkata,Mobile,High,C105,UI/UX Design Fundamentals,Design,Beginner,40,4.4,7,41,72.0,2,11.5,6,7,4.8,6,4,4,69.8,69.6,64.7,2,11-04-2024,UPI,Yes,No,3761,100,1,2,3.8,Completed,1,0,0,1,0,1,1,5
3803,STU103803,Rohan Kumar,Male,29,Bachelor,Student,Delhi,Mobile,Medium,C101,Python Basics,Programming,Beginner,45,4.6,6,27,80.9,4,2.2,8,4,4.6,6,4,4,81.2,57.9,67.2,3,03-09-2025,UPI,Yes,No,4174,61,1,2,4.3,Completed,1,0,2,1,2,1,4,5
3804,STU103804,Ananya Mehta,Male,40,Master,Student,Jaipur,Mobile,Medium,C107,Statistics for Data Science,Math,Intermediate,50,4.2,7,37,59.3,4,6.9,7,9,6.1,4,6,7,82.6,56.0,47.6,6,15-11-2024,Debit Card,Yes,No,4812,99,3,0,5.0,Not Completed,1,3,2,1,2,2,3,1
3805,STU103805,Kavya Singh,Female,21,Master,Unemployed,Pune,Laptop,Medium,C101,Python Basics,Programming,Beginner,45,4.6,9,28,64.6,2,2.6,5,5,5.4,3,7,0,66.5,58.3,43.5,3,08-01-2024,UPI,Yes,No,4613,70,5,2,4.0,Completed,0,3,3,0,2,1,4,5
3806,STU103806,Isha Nair,Female,32,Master,Student,Kolkata,Mobile,High,C103,Introduction to AI,Programming,Intermediate,75,4.5,11,52,72.9,2,6.7,1,7,9.0,8,2,1,92.0,78.6,77.4,6,13-11-2024,Credit Card,Yes,No,5231,50,2,0,3.4,Completed,0,3,2,1,0,2,4,0
3807,STU103807,Sakshi Desai,Male,17,Bachelor,Employed,Chennai,Laptop,High,C101,Python Basics,Programming,Beginner,45,4.6,11,39,59.2,3,9.1,7,6,2.5,5,5,7,70.4,68.6,54.2,2,21-07-2024,NetBanking,Yes,No,4036,63,1,0,5.0,Not Completed,1,0,0,0,0,1,4,3
3808,STU103808,Krishna Bose,Female,31,HighSchool,Employed,Lucknow,Mobile,High,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,5,40,51.4,0,4.0,18,4,4.1,7,3,7,86.7,69.5,63.5,2,05-04-2025,Free,No,No,0,53,3,2,3.3,Not Completed,0,2,0,1,0,1,2,2
